Movie,Score,Poster_URL
The Matrix Reloaded,51%,https://posters.movieposterdb.com/11_03/2003/234215/s_234215_b0abb216.jpg
Minions,37%,https://posters.movieposterdb.com/15_02/2015/2293640/s_2293640_644af6d9.jpg
Inception,86%,https://posters.movieposterdb.com/10_06/2010/1375666/s_1375666_07030c72.jpg
Scarface,73%,https://posters.movieposterdb.com/07_10/1983/86250/s_86250_047691bb.jpg
1917,93%,https://posters.movieposterdb.com/23_02/2020/8579674/s_1917-movie-poster_a41b1984.jpeg
Drive,79%,https://posters.movieposterdb.com/21_10/2019/6593054/s_6593054_5cf0e67f.jpg
Spider-Man: Far From Home,69%,https://posters.movieposterdb.com/20_01/2019/6320628/s_6320628_9a26e384.jpg
Crash,90%,https://posters.movieposterdb.com/23_01/2009/1505506/s_crash-movie-poster_38d7565a.jpg
Top Gun,87%,https://posters.movieposterdb.com/08_02/1986/92099/s_92099_c621f474.jpg
Big,84%,https://posters.movieposterdb.com/23_01/2011/2471264/s_big-big-man-movie-poster_599272c7.jpg
Spider-Man,81%,https://posters.movieposterdb.com/22_10/2018/5807780/s_spider-man-movie-poster_3d784315.jpg
Transformers: Revenge of the Fallen,26%,https://posters.movieposterdb.com/23_01/2009/1369842/s_transformers-revenge-of-the-fallen-movie-poster_0cc5f9de.jpg
The Shawshank Redemption,99%,https://posters.movieposterdb.com/05_03/1994/0111161/s_8494_0111161_3bb8e662.jpg
Pan's Labyrinth,92%,
Eternal Sunshine of the Spotless Mind,79%,https://posters.movieposterdb.com/06_04/2004/0338013/s_106627_0338013_8f7a2994.jpg
Airplane!,82%,https://posters.movieposterdb.com/05_07/1980/0080339/s_26948_0080339_ab91757a.jpg
The Princess Bride,83%,https://posters.movieposterdb.com/23_01/1987/93779/s_the-princess-bride-movie-poster_eccb77ed.jpg
The Martian,79%,https://posters.movieposterdb.com/15_10/2015/3659388/s_f375f83c.jpg
Manchester by the Sea,92%,https://posters.movieposterdb.com/21_06/2016/4034228/s_4034228_d779049f.jpg
Apollo 13,89%,https://posters.movieposterdb.com/13_11/1995/112384/s_112384_2da3fad0.jpg
The Jungle Book,78%,https://posters.movieposterdb.com/23_01/2014/2226178/s_the-jungle-book-movie-poster_cf617974.jpg
Shrek 2,65%,https://posters.movieposterdb.com/10_11/2004/298148/s_298148_0e2c9961.jpg
The Sting,93%,https://posters.movieposterdb.com/09_02/1973/70735/s_70735_ddf04621.jpg
Who Framed Roger Rabbit,95%,https://posters.movieposterdb.com/22_11/1988/295691/s_who-framed-roger-rabbit-movie-poster_a024bda5.jpg
Pretty Woman,84%,https://posters.movieposterdb.com/05_09/1990/0100405/s_54315_0100405_dac098d8.jpg
Goodfellas,87%,https://posters.movieposterdb.com/05_09/1990/0099685/s_54529_0099685_307a5bd2.jpg
Inglourious Basterds,93%,https://posters.movieposterdb.com/22_12/2009/361748/s_inglourious-basterds-movie-poster_10cbca6a.jpg
The Revenant,89%,https://posters.movieposterdb.com/15_11/2015/1663202/s_1663202_52f470c6.jpg
Frozen II,40%,https://posters.movieposterdb.com/21_10/2019/4520988/s_4520988_28e84f63.jpg
Dirty Dancing,82%,https://posters.movieposterdb.com/22_11/1988/94450/s_dirty-dancing-movie-poster_8c28788d.jpg
Spider-Man: Into the Spider-Verse,85%,https://posters.movieposterdb.com/22_10/2018/4633694/s_spider-man-into-the-spider-verse-movie-poster_a7f62b30.jpeg
Star Wars: Episode VI - Return of the Jedi,89%,https://posters.movieposterdb.com/09_02/1983/86190/s_86190_358f68cd.jpg
Black Swan,89%,https://posters.movieposterdb.com/22_11/2002/271400/s_black-swan-movie-poster_0721d04d.jpg
Rocky,97%,https://posters.movieposterdb.com/22_02/2021/11772600/s_11772600_20bb32ff.jpg
One Flew Over the Cuckoo's Nest,97%,https://posters.movieposterdb.com/08_01/1975/73486/s_73486_cab896d5.jpg
The Truman Show,86%,https://posters.movieposterdb.com/06_08/1998/0120382/s_127905_0120382_a04d6482.jpg
Die Hard,90%,https://posters.movieposterdb.com/22_11/1992/301197/s_die-hard-movie-poster_d05bc36f.jpg
Toy Story 3,88%,https://posters.movieposterdb.com/10_07/2010/435761/s_435761_ddef4583.jpg
The Breakfast Club,93%,https://posters.movieposterdb.com/06_02/1985/0088847/s_93661_0088847_841b88dc.jpg
