Movie,Score,Poster_URL
The Lord of the Rings: The Two Towers,69%,https://posters.movieposterdb.com/06_04/2002/0167261/s_107349_0167261_e890fd13.jpg
Spider-Man: Far From Home,69%,https://posters.movieposterdb.com/20_01/2019/6320628/s_6320628_9a26e384.jpg
Aladdin,69%,https://posters.movieposterdb.com/13_04/1992/103639/s_103639_fbe86f20.jpg
Transformers,67%,https://posters.movieposterdb.com/12_07/1984/86817/s_86817_6c23fe02.jpg
Jumanji: The Next Level,66%,https://posters.movieposterdb.com/20_05/2019/7975244/s_7975244_71035fd9.jpg
Shrek 2,65%,https://posters.movieposterdb.com/10_11/2004/298148/s_298148_0e2c9961.jpg
The Hobbit: The Battle of the Five Armies,63%,https://posters.movieposterdb.com/14_12/2014/2310332/s_2310332_027ad573.jpg
Star Wars: The Rise of Skywalker,62%,https://posters.movieposterdb.com/23_03/2019/11464830/s_live-from-the-red-carpet-of-star-wars-the-rise-of-skywalker-movie-poster_323da1d6.jpg
Avatar,61%,https://posters.movieposterdb.com/23_01/2009/499549/s_avatar-movie-poster_c111a145.png
Star Wars: The Force Awakens,60%,https://posters.movieposterdb.com/23_02/2016/5430544/s_lego-star-wars-the-force-awakens-movie-poster_85f0b235.jpg
The Hunger Games,57%,https://posters.movieposterdb.com/12_02/2012/1392170/s_1392170_7bed9f27.jpg
Pirates of the Caribbean: Dead Man's Chest,56%,https://posters.movieposterdb.com/23_01/2006/1815877/s_pirates-of-the-caribbean-dead-mans-chest-movie-poster_012afdc3.jpg
The Secret Life of Pets,53%,https://posters.movieposterdb.com/15_06/2016/2709768/s_2709768_b457c70a.jpg
Toy Story 4,52%,https://posters.movieposterdb.com/22_09/2019/1979376/s_1979376_80a0cd8b.jpg
The Matrix Reloaded,51%,https://posters.movieposterdb.com/11_03/2003/234215/s_234215_b0abb216.jpg
Avengers: Endgame,51%,https://posters.movieposterdb.com/20_05/2019/4154796/s_4154796_2542f70b.jpg
Jurassic World,49%,https://posters.movieposterdb.com/15_04/2015/369610/s_369610_dec963e0.jpg
Pirates of the Caribbean: On Stranger Tides,47%,https://posters.movieposterdb.com/11_06/2011/1298650/s_1298650_637b4bae.jpg
The Matrix Revolutions,47%,https://posters.movieposterdb.com/05_06/2003/0242653/s_21678_0242653_f3864eb0.jpg
Star Wars: The Last Jedi,45%,https://posters.movieposterdb.com/23_03/2018/11563030/s_rifftrax-star-wars-the-last-jedi-movie-poster_be64fcf4.jpg
Black Panther,45%,https://posters.movieposterdb.com/22_11/1969/230045/s_black-panther-movie-poster_24876705.jpg
Frozen,44%,https://posters.movieposterdb.com/23_01/2010/1733445/s_frozen-movie-poster_31f252c3.jpg
Spider-Man 3,41%,https://posters.movieposterdb.com/22_12/2007/837564/s_spider-man-3-movie-poster_6461a748.jpg
Frozen II,40%,https://posters.movieposterdb.com/21_10/2019/4520988/s_4520988_28e84f63.jpg
The Fate of the Furious,38%,https://posters.movieposterdb.com/21_08/2017/4630562/s_4630562_5cf3c12f.jpg
Minions,37%,https://posters.movieposterdb.com/15_02/2015/2293640/s_2293640_644af6d9.jpg
Jurassic World: Fallen Kingdom,34%,https://posters.movieposterdb.com/20_01/2018/4881806/s_4881806_9cdd2f7f.jpg
Despicable Me 3,34%,https://posters.movieposterdb.com/20_06/2017/3469046/s_3469046_30126921.jpg
Ghostbusters,33%,https://posters.movieposterdb.com/22_12/2009/1142978/s_ghostbusters-movie-poster_a0eafc5c.jpg
Transformers: Revenge of the Fallen,26%,https://posters.movieposterdb.com/23_01/2009/1369842/s_transformers-revenge-of-the-fallen-movie-poster_0cc5f9de.jpg
The Twilight Saga: Eclipse,22%,https://posters.movieposterdb.com/10_03/2010/1325004/s_1325004_463ecff4.jpg
The Twilight Saga: New Moon,16%,https://posters.movieposterdb.com/11_10/2009/1259571/s_1259571_2c6e71f0.jpg
Aquaman,13%,https://posters.movieposterdb.com/22_03/2018/1477834/s_1477834_f264ef2c.jpg
